"PRODUCTO","CATEGORIA","DATE","value"
"PRINCIPALES PRODUCTOS","General",1991,1204426540
"PRINCIPALES PRODUCTOS","General",1992,1489219592
"PRINCIPALES PRODUCTOS","General",1993,1990043008
"PRINCIPALES PRODUCTOS","General",1994,1817456365
"PRINCIPALES PRODUCTOS","General",1995,2047174455
"PRINCIPALES PRODUCTOS","General",1996,1613661485
"PRINCIPALES PRODUCTOS","General",1997,1952161124
"PRINCIPALES PRODUCTOS","General",1998,1643396261
"PRINCIPALES PRODUCTOS","General",1999,1465134264
"PRINCIPALES PRODUCTOS","General",2000,1010468783
"PRINCIPALES PRODUCTOS","General",2001,797021195
"PRINCIPALES PRODUCTOS","General",2002,847226717
"PRINCIPALES PRODUCTOS","General",2003,847888413
"PRINCIPALES PRODUCTOS","General",2004,968482422
"PRINCIPALES PRODUCTOS","General",2005,1267543355
"PRINCIPALES PRODUCTOS","General",2006,1248145552
"PRINCIPALES PRODUCTOS","General",2007,1547959737
"PRINCIPALES PRODUCTOS","General",2008,2264272872
"PRINCIPALES PRODUCTOS","General",2009,2406220109
"PRINCIPALES PRODUCTOS","General",2010,2882779310
"PRINCIPALES PRODUCTOS","General",2011,4138808761
"PRINCIPALES PRODUCTOS","General",2012,5913860460
"PRINCIPALES PRODUCTOS","General",2013,6573457023.81
"PRINCIPALES PRODUCTOS","General",2014,8076663310.91
"PRINCIPALES PRODUCTOS","General",2015,9173579671.59
"PRINCIPALES PRODUCTOS","General",2016,8675244027.05
"PRINCIPALES PRODUCTOS","General",2017,7075590116.26
